date,ts_et,kalshi_prob,market_fresh,implied_p_A_sign_equal,implied_p_B_beta_weighted,implied_p_C_min_variance
2024-10-04,2024-10-04 16:00:00,0.5,True,0.447,0.447,0.447
2024-10-07,2024-10-07 16:00:00,0.5,True,0.7721598457248767,0.6203690723619724,9.919012362229903
2024-10-08,2024-10-08 16:00:00,0.5,True,0.2157903078318734,0.483992506894997,6.96008596835483
2024-10-09,2024-10-09 16:00:00,0.51,True,0.4078533371123511,0.6130073259957864,13.980655569972395
2024-10-10,2024-10-10 16:00:00,0.525,True,0.6280132420274043,0.6606808239758748,15.29002283863774
2024-10-11,2024-10-11 16:00:00,0.53,True,0.8559318534287814,0.7449300659112882,12.330846799849118
2024-10-14,2024-10-14 16:00:00,0.54,True,0.6545464621078323,0.6276634371048441,6.884241901694196
2024-10-15,2024-10-15 16:00:00,0.56,True,-0.0434829618327666,0.3644536548311953,-10.686837478496496
2024-10-16,2024-10-16 16:00:00,0.56,True,-0.0099215012352816,0.2561962712468562,-17.57712716733754
2024-10-17,2024-10-17 16:00:00,0.57,True,0.1953655451446235,0.3544213092699372,-15.941924716069355
2024-10-18,2024-10-18 16:00:00,0.57,True,-0.0318013492360053,0.2730041668334848,-17.38925197415143
2024-10-21,2024-10-21 16:00:00,0.58,True,-0.1190549239082079,0.2084721870437439,-21.802167975219604
2024-10-22,2024-10-22 16:00:00,0.61,True,0.002631245451667,0.3355331894603403,-17.888689208497173
2024-10-23,2024-10-23 16:00:00,0.59,True,-0.0325639060232932,0.2594587525433949,-26.00226326232314
2024-10-24,2024-10-24 16:00:00,0.6,True,-0.188697010339803,0.2681018365812425,-18.53550995925468
2024-10-25,2024-10-25 16:00:00,0.63,True,-0.2850417668717237,0.3233039037679445,-11.294310689619923
2024-10-28,2024-10-28 16:00:00,0.63,True,-0.4000616110559017,0.2321800205392647,-20.62735520604293
2024-10-29,2024-10-29 16:00:00,0.65,True,-0.6048589949485548,0.323163039115928,-13.115160700325962
2024-10-30,2024-10-30 16:00:00,0.62,True,-0.4842098252683888,0.392325782496837,-14.92037741999245
2024-10-31,2024-10-31 16:00:00,0.58,True,-0.1589766174048768,0.3567506239879579,-22.366202485937063
2024-11-01,2024-11-01 16:00:00,0.56,True,-0.1336976926855838,0.4702701674345687,-9.91810291747796
2024-11-04,2024-11-04 16:00:00,0.56,True,-0.0002360603279903,0.6111926297768805,-1.625424322746785
2024-11-05,2024-11-05 16:00:00,0.58,True,-0.2160889434555058,0.5266270947093435,-3.2400287240792345
2024-11-06,2024-11-06 16:00:00,0.97,True,1.0,1.0,1.0
